Taxa	MTN112	PFND073	PFND110	PFND111	PFND164_amplified	PFND185	PFND208	PFND227	PFND233	PFND283	PFND429	MTN008	MTN038	MTN044	MTN049	MTN071	MTN076	MTN099	MTN142	MTN167
Paenibacillus azoreducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Parabacteroides distasonis	97	1	0	5	129	8	83	0	32	59	1	0	49	1	20	94	88	6	2	36
Parabacteroides goldsteinii	0	0	0	1	0	0	14	0	13	3	0	0	1	0	0	82	86	0	0	133
Parabacteroides johnsonii	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
Parabacteroides merdae	2	2	0	133	0	92	9	24	37	40	175	0	52	0	48	105	1	6	2	9
Parabacteroides sp. CT06	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Paraclostridium bifermentans	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraclostridium sordellii	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Paraprevotella xylaniphila	0	0	0	0	18	0	0	14	0	12	0	0	0	0	1	9	0	0	0	0
Phage FAKO05_000032F	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Phage YS1-2_2434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Phascolarctobacterium faecium	0	0	21	0	9	16	6	0	0	79	1	0	0	0	0	65	0	1	0	0
Phascolarctobacterium sp. Marseille-Q4147	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Phocaeicola coprophilus	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0
Phocaeicola dorei	51	0	0	103	16	5	9	1	0	352	15	1	8	4	5	90	22	5	9	12
Phocaeicola salanitronis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
Phocaeicola vulgatus	5	1	0	7	14	1	0	71	68	23	4	2	45	1	12	59	12	6	6	89
Podoviridae sp. ct7Kl21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Podoviridae sp. ctHVs9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podoviridae sp. ctJaJ36	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Porphyromonas cangingivalis	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas gingivalis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Porphyromonas somerae	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Prevotella bivia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella denticola	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Prevotella fusca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Prevotella intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Prevotella jejuni	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Pseudobutyrivibrio xylanivorans	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pseudocoprococcus catus	0	0	0	0	0	0	0	0	0	0	0	0	36	4	56	5	12	6	5	3
Pusillibacter faecalis	1	1	0	2	1	1	3	0	0	0	82	0	3	2	3	4	0	2	18	4
Romboutsia hominis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romboutsia ilealis	1	5	14	0	0	0	0	1	0	7	0	0	12	0	11	0	0	0	0	0
Romboutsia sp. CE17	1	0	1	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
Roseburia hominis	20	0	1	2	28	3	3	3	4	81	33	0	20	32	78	33	51	2	28	5
Roseburia intestinalis	11	2	8	11	30	45	25	10	12	48	125	0	45	10	18	13	48	2	9	75
Roseburia inulinivorans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia sp. A2-194	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia mucilaginosa	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminiclostridium cellulolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ruminococcaceae bacterium BL-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ruminococcus albus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus bovis	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
Ruminococcus champanellensis	0	0	0	1	1	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0
Ruminococcus sp. SR1/5	14	5	0	6	13	10	7	5	2	20	2	0	4	3	13	2	7	2	1	4
Ruthenibacterium lactatiformans	13	0	1	4	4	1	13	0	0	10	11	0	1	2	0	18	28	17	2	64
Schaalia odontolytica	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0
Segatella copri	0	3	0	0	0	0	0	5	0	1	0	47	0	0	15	12	0	0	0	39
Selenomonas ruminantium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Siphoviridae sp. ct0UO21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ct0hG5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ct2QJ10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ct7FW4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ct9mC1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctBLh2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Siphoviridae sp. ctDXu9	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctES717	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctGoR6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctL0q1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Siphoviridae sp. ctTC45	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctWhl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Siphoviridae sp. cta6m1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0
Siphoviridae sp. ctdmY20	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
Siphoviridae sp. ctfeV1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctjdk2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Siphoviridae sp. ctoOf8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Siphoviridae sp. ctsoB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Siphoviridae sp. cttWj13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Siphoviridae sp. ctvbt38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Siphoviridae sp. ctw757	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctwQg18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Siphoviridae sp. ctwWa4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctzVd36	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Siphoviridae sp. ctzXg6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Solibaculum mannosilyticum	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
Streptococcus agalactiae	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Streptococcus anginosus	7	0	0	0	14	0	13	0	0	21	0	0	0	0	0	0	0	0	0	0
Streptococcus australis	1	0	7	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6
Streptococcus constellatus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus equinus	0	0	1	4	0	1	0	0	0	4	1	0	0	0	2	0	0	0	0	0
Streptococcus gordonii	0	0	0	15	0	0	2	0	0	58	0	0	0	0	0	0	0	0	0	0
Streptococcus gwangjuensis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus ilei	0	0	4	0	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus intermedius	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus koreensis	0	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Streptococcus lutetiensis	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Streptococcus milleri	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Streptococcus mutans	0	0	0	1	0	0	30	0	0	42	0	0	0	1	0	0	0	0	0	0
Streptococcus oralis	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus parasanguinis	17	0	5	0	9	0	5	3	13	13	0	0	18	8	0	0	0	1	0	16
Streptococcus periodonticum	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus phage PH15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus pneumoniae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Streptococcus rubneri	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus salivarius	10	14	14	88	4	64	3	8	9	99	6	0	33	43	40	0	12	8	1	28
Streptococcus sanguinis	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus sp. A12	0	0	6	0	5	0	1	0	0	0	0	0	0	2	0	0	1	0	0	6
Streptococcus sp. FDAARGOS_192	0	1	0	5	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2
Streptococcus sp. KS 6	0	0	0	1	0	0	7	0	0	21	0	0	0	0	0	0	0	0	0	0
Streptococcus sp. LPB0220	18	5	9	0	1	1	9	0	7	15	1	0	11	3	0	0	0	3	1	4
Streptococcus sp. ZB199	9	3	3	0	5	0	3	2	13	4	0	0	11	6	0	0	1	0	0	0
Streptococcus sp. oral taxon 061	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus suis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Streptococcus thermophilus	2	0	27	1	33	0	26	2	0	5	7	0	0	112	0	53	3	0	0	0
Streptococcus vestibularis	3	0	30	0	19	0	23	1	0	57	0	0	3	0	0	0	0	0	0	0
Streptococcus viridans	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
Sutterella faecalis	0	0	0	0	20	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0
Sutterella megalosphaeroides	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0
Sutterella wadsworthensis	0	0	0	0	0	49	5	1	31	1	0	0	2	0	1	1	0	0	0	13
Taranisvirus taranis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermophilibacter immobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Thomasclavelia ramosa	3	0	36	1	2	0	0	0	0	1	8	0	0	34	2	4	1	0	18	0
Turicibacter sanguinis	0	0	0	0	5	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0
Turicibacter sp. H121	0	25	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Turicibacter sp. TJ11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Veillonella atypica	0	0	9	0	0	3	0	16	0	55	0	0	0	1	0	0	0	0	0	0
Veillonella dispar	0	0	3	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Veillonella nakazawae	0	0	1	0	3	0	0	8	2	6	0	0	0	1	0	0	0	0	0	0
Veillonella parvula	0	0	54	0	5	52	0	18	0	51	0	0	0	0	0	0	0	0	0	0
Veillonella rodentium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vescimonas coprocola	1	2	0	1	6	4	12	1	3	29	30	0	3	14	6	25	6	0	22	20
Vescimonas fastidiosa	2	1	0	2	5	0	4	0	0	3	1	0	0	0	2	1	2	1	1	4
Victivallales bacterium CCUG 44730	0	0	0	0	0	1	8	0	0	0	0	0	1	0	0	5	0	0	0	1
Weissella cibaria	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] hylemonae	1	1	0	1	1	0	1	0	0	4	0	0	1	0	0	2	1	0	0	0
[Clostridium] innocuum	3	0	0	0	1	4	1	0	0	2	2	0	3	1	0	5	4	1	1	6
[Clostridium] scindens	4	2	2	5	4	2	4	0	1	2	1	0	3	4	3	5	7	0	1	0
[Clostridium] symbiosum	1	0	0	1	2	1	0	0	0	2	3	0	1	0	1	3	2	6	4	3
[Eubacterium] siraeum	1	0	0	1	4	7	48	0	12	5	0	0	1	0	16	7	10	2	0	1
[Eubacterium] sulci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
[Ruminococcus] torques	55	13	6	53	6	51	36	10	1	55	50	0	0	0	0	0	0	0	0	0
bacterium	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0
butyrate-producing bacterium SM4/1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
butyrate-producing bacterium SS3/4	1	1	55	0	12	3	3	2	5	29	60	0	51	37	62	45	77	1	43	19
uncultured Alphaproteobacteria bacterium	1	0	0	0	8	0	4	0	3	0	0	0	0	0	9	10	0	0	0	0
uncultured Blautia sp.	0	0	0	5	2	0	3	0	3	3	2	0	0	5	5	4	1	1	2	2
uncultured Clostridia bacterium	0	1	0	9	11	0	0	6	1	3	2	0	26	2	33	4	0	0	2	0
uncultured Eggerthella sp. SMG5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
uncultured Mollicutes bacterium	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1
uncultured Ruminococcus sp.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured Sutterella sp.	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	2	0	0	0	3
uncultured bacterium	9	7	2	11	12	9	8	2	1	29	11	0	3	2	8	4	7	4	2	8
uncultured bacterium BD_contig00953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uncultured bacterium Contig1490	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured bacterium DCM001Tet01	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured bacterium EB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
uncultured bacterium EB2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured bacterium EB5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured human fecal virus	20	29	2	10	12	13	11	4	1	25	3	0	6	0	12	6	7	2	2	7
uncultured organism	11	4	0	14	24	7	12	2	2	30	9	0	1	0	4	7	4	2	10	1
uncultured prokaryote	0	0	1	0	0	1	2	0	0	2	2	0	0	0	1	1	2	0	0	0
unidentified plasmid	4	3	6	1	8	5	17	3	7	13	12	0	3	0	8	5	14	0	4	2
virus sp. ctyg714	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
