feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation.g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	2.25076187545094	0.792812122626044	19	12	0.0113354002852293	0.445609619609676
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis.g__Streptococcus.s__Streptococcus_salivarius	Diagnosis	IPF	3.51638968239199	1.2789215384507	19	15	0.0136824453637923	0.446874865651984
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type.unclassified	Diagnosis	IPF	1.6680216990625	0.600082484046168	19	18	0.0128432941098558	0.446874865651984
PWY.702..L.methionine.biosynthesis.II.g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	1.09950817193118	0.40000451755631	19	5	0.0137041625466609	0.446874865651984
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Blautia.s__Ruminococcus_torques	Diagnosis	IPF	1.52872651807897	0.56904073663415	19	16	0.0156085912990865	0.477000843898013
PWY.6936..seleno.amino.acid.biosynthesis..plants..g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	1.96831837699577	0.742862751176521	19	5	0.01685325998892	0.477000843898013
PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation.g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	1.06488454686685	0.397730838258153	19	5	0.0159073646414002	0.477000843898013
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Bilophila.s__Bilophila_wadsworthia	Diagnosis	IPF	-0.964806369547633	0.367813079738026	19	5	0.0178080315055258	0.477000843898013
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	0.961957928581119	0.36629760683365	19	5	0.0176948239232033	0.477000843898013
PWY.5981..CDP.diacylglycerol.biosynthesis.III.g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	1.03653200094341	0.403540732460878	19	5	0.0199317037580237	0.50761418310439
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Veillonella.s__Veillonella_parvula	Diagnosis	IPF	2.60952947132619	1.01950698051686	19	5	0.0203045673241756	0.50761418310439
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent..g__Veillonella.s__Veillonella_parvula	Diagnosis	IPF	1.05054128330756	0.44723546124723	19	4	0.031174568099326	0.529662003384263
LACTOSECAT.PWY..lactose.and.galactose.degradation.I.g__Streptococcus.s__Streptococcus_anginosus_group	Diagnosis	IPF	0.852915046497135	0.356461630514273	19	4	0.0285431780816932	0.529662003384263
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Intestinibacter.s__Intestinibacter_bartlettii	Diagnosis	IPF	1.04937193747448	0.46064013465715	19	5	0.0359232086161872	0.529662003384263
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Roseburia.s__Roseburia_hominis	Diagnosis	IPF	-1.87090162106555	0.743058896090322	19	12	0.0221243451303177	0.529662003384263
PWY.4041...gamma..glutamyl.cycle.g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	0.662300607102849	0.287550455972397	19	4	0.0341646057410961	0.529662003384263
PWY.5097..L.lysine.biosynthesis.VI.g__Dorea.s__Dorea_formicigenerans	Diagnosis	IPF	-1.50330477120576	0.651340737289204	19	9	0.0338408636598985	0.529662003384263
PWY.5097..L.lysine.biosynthesis.VI.g__Roseburia.s__Roseburia_hominis	Diagnosis	IPF	-1.92287980637632	0.766971579873825	19	9	0.022616300997886	0.529662003384263
PWY.5367..petroselinate.biosynthesis.g__Blautia.s__Ruminococcus_torques	Diagnosis	IPF	1.63608277173741	0.670551477331987	19	16	0.0259402324879536	0.529662003384263
PWY.5981..CDP.diacylglycerol.biosynthesis.III.unclassified	Diagnosis	IPF	2.14987817279957	0.944269801959188	19	13	0.0360170162301299	0.529662003384263
PWY.6628..superpathway.of.L.phenylalanine.biosynthesis.g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	1.48748326731356	0.646547938647122	19	10	0.034342149356971	0.529662003384263
PWY.6897..thiamine.diphosphate.salvage.II.g__Dialister.s__Dialister_invisus	Diagnosis	IPF	-0.488189385038223	0.213630972843883	19	4	0.0354170879774041	0.529662003384263
PWY.6936..seleno.amino.acid.biosynthesis..plants..g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	2.24991347828408	0.955234004169338	19	12	0.0307768825551509	0.529662003384263
PWY.6936..seleno.amino.acid.biosynthesis..plants..g__Veillonella.s__Veillonella_atypica	Diagnosis	IPF	1.04058779783244	0.446265587981201	19	4	0.0322695687515953	0.529662003384263
PWY.6936..seleno.amino.acid.biosynthesis..plants..g__Veillonella.s__Veillonella_parvula	Diagnosis	IPF	0.706548824130689	0.28786501947291	19	4	0.0251842568487635	0.529662003384263
PWY.702..L.methionine.biosynthesis.II.g__Veillonella.s__Veillonella_parvula	Diagnosis	IPF	0.692419986029573	0.29109213605544	19	4	0.0293632454183113	0.529662003384263
PWY.7237..myo...chiro..and.scyllo.inositol.degradation.unclassified	Diagnosis	IPF	-0.874804326914252	0.364409700329678	19	19	0.028091997083846	0.529662003384263
PWY.7977..L.methionine.biosynthesis.IV.g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	Diagnosis	IPF	-2.39968195369668	1.04149167710362	19	7	0.034107903537203	0.529662003384263
PWY.7977..L.methionine.biosynthesis.IV.unclassified	Diagnosis	IPF	-0.631005110444073	0.253473289035038	19	19	0.0234491471779556	0.529662003384263
PWY.I9..L.cysteine.biosynthesis.VI..from.L.methionine..g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	1.28233099304993	0.555184524017536	19	4	0.0337245605499742	0.529662003384263
PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate..g__Dorea.s__Dorea_longicatena	Diagnosis	IPF	-1.22789087224062	0.501165604932776	19	9	0.0254095240404427	0.529662003384263
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_129	Diagnosis	IPF	-1.65432715389412	0.710343958376826	19	10	0.0324549667314101	0.529662003384263
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	2.14157504954126	0.953304750193507	19	13	0.038249285858292	0.541263479126773
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Dialister.s__Dialister_invisus	Diagnosis	IPF	-0.481505070081686	0.213997771570313	19	4	0.0379794818084929	0.541263479126773
PWY66.409..superpathway.of.purine.nucleotide.salvage.g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	0.899009713967153	0.402516554772996	19	4	0.0392463222738552	0.5450878093591
PWY.5097..L.lysine.biosynthesis.VI.g__Bilophila.s__Bilophila_wadsworthia	Diagnosis	IPF	-0.636856260020116	0.288598015603165	19	4	0.0413734354774555	0.561029652328177
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Dialister.s__Dialister_invisus	Diagnosis	IPF	-0.616578026043689	0.280209528999477	19	4	0.0418902140405039	0.561029652328177
LACTOSECAT.PWY..lactose.and.galactose.degradation.I.g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	1.86443784093647	0.858161220885686	19	14	0.0442417455218554	0.572091536920544
PWY.2941..L.lysine.biosynthesis.II.g__Streptococcus.s__Streptococcus_vestibularis	Diagnosis	IPF	1.14667124582761	0.52662955112686	19	4	0.04382918671243	0.572091536920544
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Odoribacter.s__Odoribacter_splanchnicus	Diagnosis	IPF	-1.07894324110551	0.517951973890476	19	14	0.0526524131943314	0.57230883906882
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.unclassified	Diagnosis	IPF	-1.0773745191811	0.508509735245345	19	19	0.0491464210617925	0.57230883906882
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent..unclassified	Diagnosis	IPF	0.92855214383385	0.444959556854236	19	16	0.0522747578610537	0.57230883906882
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Odoribacter.s__Odoribacter_splanchnicus	Diagnosis	IPF	-1.14072917515758	0.536217600245027	19	14	0.0483251687396408	0.57230883906882
PWY.5097..L.lysine.biosynthesis.VI.g__Dialister.s__Dialister_invisus	Diagnosis	IPF	-1.04711131481191	0.500024044909527	19	4	0.0515426703850369	0.57230883906882
PWY.5097..L.lysine.biosynthesis.VI.g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	Diagnosis	IPF	-2.06242947822534	0.980634784046533	19	6	0.0506492545597754	0.57230883906882
PWY.6897..thiamine.diphosphate.salvage.II.g__Agathobaculum.s__Agathobaculum_butyriciproducens	Diagnosis	IPF	-0.795559966403781	0.371171825389647	19	6	0.0468418431932746	0.57230883906882
PWY.7234..inosine.5..phosphate.biosynthesis.III.g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	2.52375408853571	1.20237616278291	19	13	0.0510613243123202	0.57230883906882
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Asaccharobacter.s__Asaccharobacter_celatus	Diagnosis	IPF	-0.7000183180603	0.324720716143828	19	4	0.0457235539657879	0.57230883906882
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	Diagnosis	IPF	-2.20259767398247	1.04728344582145	19	9	0.0506496706411295	0.57230883906882
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	1.80161272041953	0.839482612156381	19	13	0.0465935772213522	0.57230883906882
PWY.6897..thiamine.diphosphate.salvage.II.g__Bacteroides.s__Bacteroides_xylanisolvens	Diagnosis	IPF	-1.67321201980107	0.807892808485949	19	5	0.0538861774195592	0.577351900923849
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Roseburia.s__Roseburia_hominis	Diagnosis	IPF	-1.48487761606139	0.721567409335284	19	12	0.0552754107296372	0.583895183763773
ANAEROFRUCAT.PWY..homolactic.fermentation.g__Klebsiella.s__Klebsiella_pneumoniae	Diagnosis	IPF	0.571290917512956	0.434686572997377	19	2	0.206216676256365	0.603151949208552
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis	Diagnosis	IPF	-1.69771632553786	1.04416257692794	19	6	0.122361269957538	0.603151949208552
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Butyricimonas.s__Butyricimonas_virosa	Diagnosis	IPF	-0.208173660064794	0.146860468145385	19	2	0.174407079487817	0.603151949208552
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Haemophilus.s__Haemophilus_parainfluenzae	Diagnosis	IPF	1.66932992267551	0.970698880150661	19	5	0.103635190274918	0.603151949208552
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Prevotella.s__Prevotella_copri	Diagnosis	IPF	-1.35177543659174	0.87088289370239	19	3	0.139033876177802	0.603151949208552
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Streptococcus.s__Streptococcus_infantis	Diagnosis	IPF	0.263583929369623	0.167445496929072	19	2	0.133878838222319	0.603151949208552
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Streptococcus.s__Streptococcus_salivarius	Diagnosis	IPF	0.437692995887742	0.31351247740593	19	2	0.180651827288483	0.603151949208552
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage.unclassified	Diagnosis	IPF	0.779266643488863	0.563159240769324	19	8	0.184338508645395	0.603151949208552
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate..g__Bacteroides.s__Bacteroides_fragilis	Diagnosis	IPF	-1.22587512184254	0.654640760291684	19	5	0.0784279342408025	0.603151949208552
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate..g__Haemophilus.s__Haemophilus_parainfluenzae	Diagnosis	IPF	1.18934845484674	0.813790182233314	19	3	0.162118735799944	0.603151949208552
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate..g__Klebsiella.s__Klebsiella_pneumoniae	Diagnosis	IPF	0.49475461889996	0.364840262454168	19	2	0.192812086763817	0.603151949208552
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate..g__Streptococcus.s__Streptococcus_salivarius	Diagnosis	IPF	1.12517004052683	0.589404858203656	19	4	0.0732911647083812	0.603151949208552
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent..g__Haemophilus.s__Haemophilus_parainfluenzae	Diagnosis	IPF	1.60151681582705	0.908680352825089	19	5	0.0959591198923555	0.603151949208552
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent..g__Parasutterella.s__Parasutterella_excrementihominis	Diagnosis	IPF	-0.286401888907699	0.213026455111841	19	2	0.196471499816895	0.603151949208552
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent..g__Veillonella.s__Veillonella_atypica	Diagnosis	IPF	1.066393685599	0.71212910343927	19	5	0.152607473316386	0.603151949208552
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent..g__Veillonella.s__Veillonella_dispar	Diagnosis	IPF	0.480382472160038	0.351838205237834	19	2	0.189939213398687	0.603151949208552
LACTOSECAT.PWY..lactose.and.galactose.degradation.I.g__Streptococcus.s__Streptococcus_gordonii	Diagnosis	IPF	0.930888015667139	0.503991988638695	19	3	0.0822236124499159	0.603151949208552
LACTOSECAT.PWY..lactose.and.galactose.degradation.I.g__Streptococcus.s__Streptococcus_infantis	Diagnosis	IPF	0.331260253927716	0.221144119357277	19	2	0.152487403869692	0.603151949208552
LACTOSECAT.PWY..lactose.and.galactose.degradation.I.g__Streptococcus.s__Streptococcus_mutans	Diagnosis	IPF	1.44173735276437	0.807368459531327	19	4	0.0919940863202336	0.603151949208552
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli..g__Bifidobacterium.s__Bifidobacterium_longum	Diagnosis	IPF	-0.738856576288843	0.463478500606355	19	3	0.129322917017884	0.603151949208552
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli..g__Lactobacillus.s__Lactobacillus_johnsonii	Diagnosis	IPF	0.627677485080736	0.48661670887937	19	2	0.214363850486183	0.603151949208552
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli..g__Lactobacillus.s__Lactobacillus_reuteri	Diagnosis	IPF	0.494773923008977	0.364857755128137	19	2	0.192815863661269	0.603151949208552
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli..g__Ruminococcus.s__Ruminococcus_sp_CAG_177	Diagnosis	IPF	-0.848363914382404	0.523342795876412	19	3	0.123406336539842	0.603151949208552
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli..g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	1.46577905284696	0.910517991091614	19	12	0.125845850534907	0.603151949208552
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis.g__Streptococcus.s__Streptococcus_gordonii	Diagnosis	IPF	0.27482083075458	0.175885273170045	19	2	0.136592808476889	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Akkermansia.s__Akkermansia_muciniphila	Diagnosis	IPF	-0.993256616944853	0.649782999195068	19	7	0.144757173651857	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Alistipes.s__Alistipes_inops	Diagnosis	IPF	-1.03512408659157	0.814113523953954	19	6	0.220681249885823	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Bacteroides.s__Bacteroides_faecis	Diagnosis	IPF	0.830709901275854	0.594951810378999	19	3	0.180601559668331	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis	Diagnosis	IPF	-1.33270713390739	0.925342834596137	19	7	0.167965142979106	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Bilophila.s__Bilophila_wadsworthia	Diagnosis	IPF	-0.777511139793899	0.49902370048421	19	6	0.137638561885185	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Blautia.s__Blautia_sp	Diagnosis	IPF	0.770013464057726	0.587247714079517	19	5	0.207217445269211	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Eggerthella.s__Eggerthella_sp_CAG_298	Diagnosis	IPF	-0.267842107720951	0.196196453415151	19	2	0.189993919771427	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Eubacterium.s__Eubacterium_ramulus	Diagnosis	IPF	0.236091062359684	0.147988240608445	19	2	0.129057998376357	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Eubacterium.s__Eubacterium_sp_CAG_161	Diagnosis	IPF	0.466100577883377	0.294198017321199	19	4	0.131548314222955	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Monoglobus.s__Monoglobus_pectinilyticus	Diagnosis	IPF	-0.229578686197784	0.163475323120511	19	2	0.178217641411656	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Parasutterella.s__Parasutterella_excrementihominis	Diagnosis	IPF	-0.58624986789892	0.364944389621299	19	3	0.126597891176584	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Rothia.s__Rothia_mucilaginosa	Diagnosis	IPF	0.294908383266309	0.19151545391885	19	2	0.141999079105726	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Ruminococcus.s__Ruminococcus_lactaris	Diagnosis	IPF	-0.835826055922022	0.511915843266599	19	3	0.12090656757004	0.603151949208552
PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Tyzzerella.s__Tyzzerella_sp	Diagnosis	IPF	-0.558986613627838	0.326907008737457	19	5	0.105467173507039	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis	Diagnosis	IPF	-1.46308808438764	0.722807503436919	19	5	0.0589590174262205	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Bacteroides.s__Bacteroides_uniformis	Diagnosis	IPF	0.303500637737273	0.198380484519009	19	2	0.144438188768758	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Blautia.s__Ruminococcus_torques	Diagnosis	IPF	0.990153377599633	0.70375257135041	19	10	0.177457920673943	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Dialister.s__Dialister_sp_CAG_357	Diagnosis	IPF	-0.427788047199698	0.242533626914902	19	3	0.0957223099860563	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Flavonifractor.s__Flavonifractor_plautii	Diagnosis	IPF	-0.550116771391973	0.346513537490834	19	3	0.130806223979698	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Lactobacillus.s__Lactobacillus_fermentum	Diagnosis	IPF	0.261606062316753	0.165985950752023	19	2	0.133434475452656	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Lactobacillus.s__Lactobacillus_johnsonii	Diagnosis	IPF	0.586281588043325	0.448460695040291	19	2	0.208510482156686	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Lactobacillus.s__Lactobacillus_reuteri	Diagnosis	IPF	0.556294719840941	0.420933995086758	19	2	0.203821105954302	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.g__Streptococcus.s__Streptococcus_gordonii	Diagnosis	IPF	0.317144406975504	0.20946686019345	19	2	0.148382045378864	0.603151949208552
PWY.2941..L.lysine.biosynthesis.II.unclassified	Diagnosis	IPF	0.577885829222588	0.39614379340524	19	18	0.162855781299588	0.603151949208552
PWY.4041...gamma..glutamyl.cycle.g__Bacteroides.s__Bacteroides_thetaiotaomicron	Diagnosis	IPF	-2.03305791988158	1.47039488247125	19	7	0.184663697347139	0.603151949208552
PWY.4041...gamma..glutamyl.cycle.g__Haemophilus.s__Haemophilus_parainfluenzae	Diagnosis	IPF	1.74152051091709	1.1256580327847	19	5	0.140249083485682	0.603151949208552
PWY.4041...gamma..glutamyl.cycle.g__Streptococcus.s__Streptococcus_gordonii	Diagnosis	IPF	0.300109796713387	0.195659747277271	19	2	0.143469819499093	0.603151949208552
PWY.4041...gamma..glutamyl.cycle.g__Streptococcus.s__Streptococcus_parasanguinis	Diagnosis	IPF	1.88661694560645	0.987623237959372	19	16	0.0731179931607396	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Akkermansia.s__Akkermansia_muciniphila	Diagnosis	IPF	-1.33058702803062	0.696387530496901	19	5	0.0730579981991282	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Bacteroides.s__Bacteroides_faecis	Diagnosis	IPF	0.308732519330769	0.202606301778861	19	2	0.14594348616604	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Bacteroides.s__Bacteroides_fragilis	Diagnosis	IPF	-1.28184948765299	0.655409689480023	19	5	0.0671279833053799	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Bacteroides.s__Bacteroides_galacturonicus	Diagnosis	IPF	-0.627174982427792	0.420666735300833	19	3	0.154307741093009	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Bacteroides.s__Bacteroides_xylanisolvens	Diagnosis	IPF	-1.52831484980356	0.794494247691409	19	7	0.0713113579117921	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Coprobacter.s__Coprobacter_fastidiosus	Diagnosis	IPF	-0.665497591530491	0.411516310250513	19	3	0.124242062960065	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Dorea.s__Dorea_longicatena	Diagnosis	IPF	-0.928032584407902	0.671041724789179	19	15	0.184569763172502	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Eubacterium.s__Eubacterium_eligens	Diagnosis	IPF	-1.14363786349423	0.771012857561247	19	10	0.156299218528202	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Eubacterium.s__Eubacterium_hallii	Diagnosis	IPF	-0.986276921926519	0.695178692200816	19	14	0.174048966625281	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Eubacterium.s__Eubacterium_sp_CAG_274	Diagnosis	IPF	-0.317911906493119	0.242562197169841	19	2	0.207410284703152	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Flavonifractor.s__Flavonifractor_plautii	Diagnosis	IPF	-0.694116147889849	0.381804385005392	19	4	0.0867317641516852	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	Diagnosis	IPF	-1.08365633150852	0.680633826194733	19	16	0.129778390845049	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Haemophilus.s__Haemophilus_parainfluenzae	Diagnosis	IPF	1.85240510807919	1.0509735927332	19	5	0.0959423503792067	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Lactobacillus.s__Lactobacillus_fermentum	Diagnosis	IPF	0.252189003331882	0.159154617619677	19	2	0.131492675900581	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Lactobacillus.s__Lactobacillus_johnsonii	Diagnosis	IPF	0.593766167060626	0.45534707879291	19	2	0.209619657724115	0.603151949208552
PWY.5097..L.lysine.biosynthesis.VI.g__Lactobacillus.s__Lactobacillus_reuteri	Diagnosis	IPF	0.577413387272324	0.440309108773207	19	2	0.207165386877939	0.603151949208552
